student_key,subject_key,assignment_name,assignment_due_date,assignment_status,grade_feedback,guardian_signature
1545,6,Join cut speech.,2024-12-31,not done,B,Yes
10733,2,Lot them stuff.,2024-11-15,not done,B-,n/a
2752,1,Staff pretty environment.,2024-12-01,done,F,Yes
1380,2,Catch score camera.,2024-12-06,done,C-,Yes
4259,5,Word bit couple.,2024-12-11,done,C,Yes
1620,6,Ground easy.,2024-10-26,pending,B,n/a
11152,1,Natural audience tend.,2024-09-25,not done,B-,n/a
10138,4,Could.,2024-09-16,done,A,No
1280,1,Son drop particular job.,2024-12-13,not done,B-,No
11181,1,Along system.,2025-03-01,done,F,n/a
7420,3,Dinner phone follow.,2024-09-25,pending,D,Yes
11515,2,This operation stand.,2024-09-12,not done,A+,No
11117,2,Social situation past.,2024-11-30,done,B,Yes
9855,1,Alone work century.,2024-10-11,not done,C,n/a
2981,4,Box woman.,2025-02-19,done,C-,No
8060,4,Sound four since.,2024-09-12,pending,D,No
5185,3,Sea include.,2025-01-27,not done,B,Yes
6531,4,Author sport address.,2024-09-26,done,B,No
12072,5,Describe check.,2025-01-15,pending,F,Yes
8410,2,Common I discover.,2024-10-24,done,A+,No
10512,2,Office learn.,2025-02-28,done,F,No
7360,6,Consumer measure.,2024-12-31,not done,D,Yes
1835,6,Miss issue.,2024-09-12,not done,D,Yes
5391,6,Increase boy.,2025-01-19,done,A+,No
11859,5,Put news.,2025-01-29,done,B,No
2489,3,Lot ok.,2024-12-05,not done,F,No
10678,3,Point loss when.,2024-10-15,done,C-,Yes
2924,3,Live animal.,2024-11-16,done,A,n/a
7937,3,Require whom.,2025-01-31,not done,D,No
5899,2,Buy heavy design.,2024-11-25,not done,C-,Yes
6458,6,Different animal.,2025-02-27,done,A+,n/a
6092,6,Certainly culture democratic.,2024-11-05,not done,A+,No
5574,6,Play begin.,2024-11-24,done,A,n/a
6687,3,That stuff rich.,2025-02-20,not done,C,n/a
2676,3,Practice resource think chair.,2025-03-01,done,B-,n/a
7425,4,Strong cause brother.,2024-09-09,not done,F,n/a
2889,1,Health.,2025-02-24,pending,B,Yes
11883,6,Big writer service.,2025-03-05,pending,C-,n/a
10486,3,Letter space.,2024-10-10,done,D,n/a
6633,6,Choice reason.,2024-11-09,not done,C-,No
4425,5,Hard food describe group.,2025-01-06,not done,C-,n/a
8546,4,Record practice improve.,2024-09-26,pending,F,n/a
1733,5,Suddenly improve.,2024-10-26,done,B-,Yes
4243,6,Offer thus present.,2024-11-01,done,F,n/a
8487,5,Letter memory bed he.,2025-01-07,pending,C,n/a
10410,5,Position whether skill.,2024-09-28,done,B-,Yes
9365,2,Officer now anyone.,2024-12-08,done,A,n/a
11852,3,One.,2024-09-27,not done,A,n/a
1150,5,Former watch sell.,2024-10-02,not done,B-,n/a
5296,3,Such community ready.,2024-11-21,done,C,No
6708,5,Glass true yourself whom.,2024-12-18,done,B-,No
8067,6,Report discover.,2025-02-15,done,A+,n/a
4494,1,Strategy environment.,2024-12-26,done,B,No
3618,4,City red bad.,2025-02-10,done,F,n/a
7935,3,Writer garden.,2024-10-18,done,C-,No
8629,5,End could.,2025-02-12,not done,C,No
3922,2,Number management soldier.,2025-01-16,done,C,Yes
340,5,Action fill far.,2024-10-17,pending,C,No
8988,5,International however day others.,2024-10-01,done,B,n/a
6911,3,Program get moment.,2025-01-05,done,A,n/a
4132,5,Real inside.,2024-09-20,done,F,No
6507,3,Green authority go.,2025-01-12,done,C,No
5529,6,Yet result.,2024-11-16,done,C-,No
219,4,Hospital.,2024-11-26,pending,F,Yes
11079,3,Rule.,2025-01-09,pending,B-,No
3524,4,Month student draw.,2025-03-07,not done,C,Yes
1333,4,Cultural seem.,2025-01-14,pending,A+,No
7342,6,Commercial member.,2025-01-26,pending,A+,n/a
8708,4,He economy exactly.,2024-10-05,done,A,Yes
519,1,Adult like.,2024-10-04,done,D,n/a
2509,1,Discussion finally avoid control.,2025-01-10,pending,D,n/a
7542,2,Democratic much.,2024-11-03,not done,B-,n/a
12147,4,Nature know push really.,2025-02-11,not done,F,n/a
2131,4,Mother skill finish.,2025-01-31,done,B-,No
2003,6,Great full.,2024-10-15,pending,F,Yes
8510,5,Arrive where tend rise.,2024-11-22,pending,D,Yes
7640,3,Poor ever.,2025-02-02,done,B,No
11150,6,Start join.,2025-02-24,done,C,No
999,5,End size traditional successful.,2024-10-23,done,A+,n/a
915,1,Local sound game.,2025-03-05,done,B,n/a
7445,2,Black others too.,2024-11-18,not done,F,No
11529,6,Authority sister.,2024-09-10,done,B,Yes
7006,3,Above character its.,2024-09-29,pending,C,n/a
2389,4,Story show.,2025-01-07,done,A+,n/a
775,6,Control free floor.,2024-11-09,done,C,n/a
4639,1,Concern throw hour.,2024-10-23,not done,A+,Yes
10928,1,Model include car.,2024-09-17,not done,A+,Yes
3148,3,Hold treat life.,2024-11-28,pending,C-,n/a
3916,1,Pm receive already.,2025-03-02,done,A+,No
10498,6,Gun single son.,2024-10-23,not done,B-,n/a
9406,5,Image world need.,2025-03-01,done,A+,No
12094,4,Animal once.,2024-11-27,done,A,n/a
10580,4,Before.,2025-03-02,pending,C,Yes
9896,5,Time wall clearly green.,2024-10-27,done,C,Yes
5080,6,Window argue east.,2025-02-08,not done,A,No
9358,6,Trip lead past.,2024-10-21,done,A,No
4698,1,Increase individual.,2025-03-08,pending,A+,No
757,5,Trial strategy movie.,2024-12-28,pending,C-,Yes
10244,1,Drug need society significant.,2025-03-02,done,F,No
9657,1,Discussion all.,2025-01-06,not done,D,Yes
8883,2,Race picture assume.,2024-12-03,not done,A+,Yes
3905,4,Ahead.,2025-01-15,not done,B,No
8620,3,Artist give.,2024-12-04,not done,A+,Yes
4535,6,Itself serve up.,2024-10-20,done,B-,No
1744,6,Pass.,2024-09-29,done,A,No
6987,4,Thus set.,2024-10-05,done,A,n/a
7283,3,Leg let this.,2024-10-30,done,A+,No
3645,3,Guy mention become.,2025-02-17,not done,D,Yes
6272,5,You range big.,2024-12-02,pending,B-,Yes
12103,1,Green his.,2024-10-18,not done,D,n/a
11607,4,Thought just certain.,2024-12-06,pending,A,No
2660,6,Treatment man.,2025-02-21,done,F,Yes
1410,1,Wish since.,2024-09-08,done,D,n/a
7816,3,Food high.,2024-10-15,done,F,Yes
8781,4,Student couple join.,2024-10-25,not done,C,No
892,2,Media deep stock.,2024-09-27,not done,A+,No
9678,5,Board peace.,2024-11-21,not done,F,No
3069,1,Prepare little.,2024-12-23,done,B,No
3584,6,General with yet.,2025-01-30,done,D,n/a
7287,4,All fall.,2024-11-19,not done,C,n/a
7144,4,Risk total win example.,2024-11-11,done,B,n/a
1000,1,Box young sound.,2024-10-23,pending,A+,Yes
8393,6,Soldier partner stock.,2024-12-14,not done,D,Yes
6908,1,Appear different.,2024-12-24,pending,C,No
8347,2,Generation test employee.,2025-02-02,not done,C,No
7794,6,So toward.,2024-12-25,not done,D,n/a
10052,3,Western sense certainly.,2025-03-02,done,C-,Yes
11736,4,Record husband loss.,2024-11-20,pending,C,n/a
11061,6,Degree feel.,2024-09-22,not done,F,n/a
7845,2,Trip say analysis.,2025-02-23,pending,F,No
2903,4,Rest magazine base road.,2024-12-06,done,B,No
8190,6,Cut chance.,2024-12-12,pending,D,n/a
9528,5,Wife real.,2025-02-27,done,C-,Yes
6300,2,Majority voice.,2025-03-07,pending,C,No
9336,4,Beyond safe identify strong.,2025-01-09,done,A,No
9388,1,Newspaper edge.,2025-02-18,done,B-,No
2597,4,Indeed.,2025-02-09,done,B,Yes
2671,4,Computer necessary.,2025-01-23,not done,C,n/a
4141,4,Three responsibility.,2025-03-02,pending,A+,n/a
4446,6,If rise call.,2025-01-27,done,B-,Yes
3301,5,Agree class approach.,2024-10-25,not done,A,Yes
5924,6,Nice raise.,2025-03-07,not done,C-,Yes
4211,1,Own near.,2024-10-17,not done,C,Yes
8306,3,Data thing item.,2024-10-02,done,A,Yes
9398,1,Cut call task.,2024-12-15,pending,C,n/a
6256,1,Friend actually yard know.,2024-09-20,done,D,No
2011,1,All hospital design personal.,2025-01-14,not done,A,Yes
1431,6,Notice stand big.,2024-11-01,not done,F,No
277,1,Before purpose shake.,2025-01-03,done,B-,Yes
5009,1,Box might.,2024-11-11,done,D,No
9155,5,People oil.,2025-02-20,done,F,Yes
470,1,Collection government seat.,2024-12-17,done,F,n/a
5832,5,Find girl human social.,2024-10-18,done,A,No
10266,3,Result find painting recent.,2024-12-29,done,B-,No
8241,5,Focus cut.,2024-09-23,done,C-,Yes
5188,6,Power take near.,2025-03-02,pending,F,No
6888,1,Generation case really.,2025-01-10,done,F,No
6706,4,Religious be.,2025-03-04,done,A,n/a
8619,4,Game.,2024-10-09,pending,D,n/a
167,2,Soldier career.,2024-11-21,done,D,Yes
4300,3,Degree just nature.,2024-11-02,done,C-,n/a
6243,5,Key entire.,2025-02-13,not done,A+,n/a
7893,2,Black.,2024-10-19,not done,A,n/a
9793,2,Off home.,2025-02-27,done,C,Yes
2983,1,Build sort.,2024-10-03,not done,B-,Yes
11046,1,Road like.,2024-11-29,done,B,Yes
8030,5,Person situation truth conference.,2024-10-24,not done,A+,Yes
3176,4,Manager.,2024-10-30,pending,A,No
1075,3,Money perform.,2024-11-06,done,A,No
4991,4,Prove environment sort.,2024-10-10,not done,D,No
10321,1,Hope air.,2025-01-15,done,A,n/a
11294,1,Brother say.,2024-12-21,not done,F,Yes
3643,5,Entire out former.,2025-01-03,done,C-,Yes
5808,4,Business style social.,2025-01-14,done,A+,n/a
10075,5,Own need.,2025-01-08,done,F,n/a
6648,2,Use goal gun.,2024-09-28,not done,F,n/a
7434,4,Civil adult often.,2025-02-05,done,F,No
5027,6,If film.,2025-01-10,done,F,n/a
2444,6,Budget despite.,2024-11-21,not done,A,Yes
7064,2,Might see.,2025-03-04,done,B,n/a
507,5,Environment bit.,2025-03-07,done,C,No
4528,2,Against single debate.,2025-02-06,pending,C,No
11816,5,Trip shake customer.,2024-09-08,not done,A,Yes
4935,5,Second science fill.,2024-12-21,done,A+,No
2480,6,Hit whom.,2024-09-12,done,B,Yes
11055,2,Explain executive answer.,2024-11-10,not done,C,No
585,4,North discover.,2024-09-08,done,A+,No
383,3,Small matter stay analysis.,2024-12-31,done,C,No
11977,6,Apply free.,2024-11-23,not done,F,No
5813,3,Focus and or.,2024-09-26,not done,F,Yes
9647,2,With official.,2024-11-17,done,F,Yes
1349,2,Open long old miss.,2025-03-08,done,A+,No
576,5,Standard technology.,2025-02-15,done,B-,n/a
11027,3,Push half.,2024-09-19,done,B,Yes
8095,5,Fast human.,2025-01-31,done,F,Yes
2236,3,Require easy.,2024-11-15,not done,D,Yes
3046,6,Improve door own democratic.,2024-12-24,done,B-,Yes
1911,5,Why city fill.,2024-10-12,done,B-,n/a
4146,5,Avoid herself change threat.,2024-10-12,done,F,Yes
9925,2,Also traditional.,2025-03-09,done,D,No
963,5,Newspaper our size.,2025-01-16,done,A,n/a
7579,4,International.,2025-02-17,not done,A,Yes
9555,1,Discussion.,2024-12-07,done,B,No
9246,1,Life sea.,2024-12-02,done,F,No
2873,1,Big example.,2024-11-26,done,D,No
7476,3,Company compare usually.,2024-12-12,done,B,Yes
3048,4,Both.,2024-10-30,not done,B,n/a
11527,6,Represent institution.,2024-10-19,not done,B-,Yes
2323,4,Attorney.,2024-12-31,done,B-,n/a
5109,4,Form wonder.,2024-12-22,not done,B,No
3906,1,Whether that.,2024-11-03,not done,C,No
2164,6,Training product great.,2024-11-06,done,B,n/a
2144,2,Tonight.,2025-01-24,not done,A+,n/a
10539,5,Half power almost hard.,2024-09-12,pending,B-,Yes
3557,3,Week radio.,2025-01-23,done,B-,Yes
8688,5,Player say current nearly.,2025-01-21,not done,B,No
5678,3,Number quality.,2024-09-21,not done,D,No
8895,1,Establish course quite.,2025-02-05,pending,C-,Yes
6783,3,Decade standard I.,2024-12-17,done,F,Yes
6230,5,During.,2025-01-02,pending,D,Yes
8900,6,Well build.,2024-11-08,pending,C-,No
5472,1,Enter.,2025-01-16,done,B-,n/a
989,4,Light someone.,2024-10-13,done,A,n/a
2875,4,Home personal though.,2025-02-14,pending,B,Yes
922,5,Church check east.,2024-09-15,not done,D,No
8342,5,Walk I of.,2025-01-20,pending,B,n/a
11268,6,Painting federal feel.,2024-11-23,done,F,Yes
9908,4,Operation beyond.,2024-11-20,not done,C-,No
1255,1,Rock draw.,2024-10-23,not done,C-,Yes
6985,3,Process ten.,2025-02-13,not done,B-,n/a
9614,1,Through red eat.,2024-09-11,not done,D,Yes
9831,5,Size significant too.,2025-03-01,pending,F,Yes
6079,3,Listen treat avoid.,2024-11-30,done,A,n/a
5908,2,Hand develop.,2024-11-14,not done,A,Yes
572,2,Nothing girl together.,2024-10-26,not done,D,Yes
7838,1,Majority.,2024-11-14,pending,A+,Yes
9958,5,Second detail security.,2024-10-22,done,C-,n/a
3217,2,Those difference.,2024-11-17,not done,C-,Yes
4561,3,Score.,2025-02-03,done,C,Yes
1246,5,Professor thank.,2025-01-15,done,F,No
5832,1,Teacher themselves agreement.,2024-12-08,pending,B,n/a
7925,4,In remember miss.,2024-10-31,not done,A+,Yes
6377,5,Expect writer network.,2024-12-26,pending,F,No
4322,1,Maintain front.,2025-02-05,done,C-,n/a
5868,4,Not also provide.,2024-11-04,not done,F,No
4041,6,Affect arrive candidate.,2024-10-29,not done,D,No
26,2,Real western.,2024-11-14,not done,C,No
5026,1,Marriage.,2024-10-22,done,B,No
2431,3,Front into couple.,2024-12-10,done,C-,n/a
7840,5,Next follow difference what.,2024-12-03,not done,B,No
9853,5,Various discuss training.,2024-10-31,done,F,n/a
10917,6,Notice tough discuss.,2025-02-21,done,B-,Yes
55,3,Easy remain analysis.,2025-01-19,not done,B,No
6951,2,Contain else.,2024-10-11,done,C-,No
11921,1,Paper will others whether.,2024-10-03,done,D,No
2587,5,Direction these determine.,2025-01-26,done,B,Yes
11839,1,Table of name.,2025-02-09,not done,B,Yes
2849,4,Last great sign.,2024-11-28,done,F,No
8011,3,Room bank professional.,2024-12-10,pending,D,No
8591,1,Board participant ok.,2024-09-11,not done,C,Yes
5427,3,Stuff leave.,2024-09-16,done,A,n/a
6338,3,Early.,2024-12-26,not done,C-,No
7197,6,Experience bag.,2024-11-21,pending,B,No
10376,4,Information citizen American.,2024-09-16,done,A,Yes
5285,3,Hit response I.,2024-10-13,not done,D,n/a
913,6,Recognize growth bring.,2025-01-12,done,C,n/a
11686,3,Address according.,2025-02-26,not done,F,Yes
2317,3,Small state bad.,2024-12-21,done,C-,Yes
10518,2,Ball benefit understand both.,2025-02-13,pending,D,n/a
9915,5,Clear.,2025-01-20,done,C-,n/a
1366,3,Course great.,2025-01-27,not done,A,No
10390,1,Bit we effort.,2025-03-04,done,B,n/a
3312,3,Reality detail.,2024-12-15,not done,A+,No
9805,1,School human production.,2025-02-05,not done,F,Yes
7970,2,Business medical serve professional.,2025-01-07,done,B-,n/a
10530,1,Red sort weight.,2024-11-02,pending,C,n/a
5373,4,Fight baby member.,2025-03-03,pending,C-,No
4569,5,Race this rather.,2024-09-21,done,B,n/a
1057,6,Source city about.,2024-10-17,done,A,Yes
3808,3,Such will open.,2025-01-05,not done,B,No
3806,1,Future administration.,2024-10-19,pending,D,n/a
10218,1,Production sort idea.,2025-01-07,not done,C,No
913,4,Describe consumer.,2025-01-23,not done,B-,Yes
1512,1,Stage law alone.,2024-09-10,pending,A+,n/a
5453,1,Data.,2024-11-01,done,B,n/a
10736,6,Election.,2024-10-20,not done,C-,n/a
3110,4,Character deal option.,2025-02-25,done,B,Yes
11376,6,Particular position.,2024-10-21,done,B,No
5364,1,Bar fund.,2025-01-04,done,A,No
7219,3,Eight.,2025-02-21,not done,A,Yes
7116,4,Sound avoid wide.,2025-01-15,done,D,n/a
3099,2,Item.,2025-01-21,done,A+,Yes
3469,1,Task will grow other.,2024-10-19,not done,A,n/a
8176,3,Special blue.,2025-02-28,done,C,No
5683,1,Your.,2024-10-17,done,A,Yes
4432,6,Radio any painting.,2025-01-23,done,C,n/a
2368,4,Physical begin stage.,2025-01-29,not done,A+,n/a
718,6,Artist door.,2024-10-15,done,C-,n/a
5074,5,Represent everyone care talk.,2024-12-30,done,C-,Yes
5092,3,True detail defense.,2024-10-15,not done,B,Yes
8017,2,Plan heart.,2024-12-17,done,A,Yes
7820,4,Around laugh health.,2025-02-23,done,B,Yes
8112,2,Chance worker.,2025-01-06,not done,B-,Yes
5651,6,When cultural person.,2024-09-12,done,D,n/a
1127,4,Article long.,2024-12-11,not done,D,Yes
9554,1,Front.,2025-01-27,pending,B,Yes
9297,5,Much budget blood.,2024-12-21,done,B-,No
4350,4,Quite west different physical.,2025-02-11,not done,F,n/a
8887,1,Score need difference.,2024-10-14,done,C-,Yes
9038,6,Account too.,2024-12-13,pending,B,Yes
5075,5,Off than environment man.,2025-01-15,not done,B-,No
708,1,Able say.,2024-11-25,not done,C-,Yes
1941,2,Include beat.,2024-12-18,pending,A,Yes
1756,6,Subject wish guess.,2024-12-09,done,C,Yes
654,1,Attack although generation.,2025-01-20,not done,F,n/a
8796,1,Better develop.,2024-12-19,done,C-,n/a
3865,3,Theory hear.,2025-03-08,done,D,n/a
11650,2,Citizen arrive.,2024-09-16,not done,C,Yes
11353,2,General attack form every.,2024-12-11,not done,C,Yes
1996,6,Change once still give.,2024-12-25,done,A+,Yes
11452,2,Out.,2024-11-03,done,B,n/a
3758,3,In hotel child.,2024-12-03,done,A+,No
3358,4,Daughter soldier imagine.,2024-12-20,done,B-,No
11584,6,Everybody general.,2024-11-23,done,A,Yes
8475,6,Center security.,2024-11-03,done,B-,Yes
1496,2,Wear care.,2024-12-28,pending,A+,n/a
8552,6,Memory country agreement.,2024-10-14,done,C,n/a
5143,4,Phone life.,2024-10-13,not done,A+,Yes
6581,4,Rock experience according.,2024-10-20,done,F,n/a
3514,2,Life.,2024-09-16,done,D,n/a
7353,6,Enough you.,2025-02-08,pending,B-,Yes
3731,6,Know make.,2024-12-13,done,F,No
8944,5,Pull successful structure catch.,2024-10-21,done,A,No
10773,3,Space benefit purpose.,2024-11-29,not done,C,No
3315,4,Pattern product.,2025-01-06,not done,B-,No
1212,1,Source century particularly.,2024-10-02,not done,B-,n/a
10122,3,Include sea school own.,2024-12-24,done,D,No
10533,1,Red stage end.,2025-01-13,done,A,n/a
9651,2,Reflect ever.,2024-11-19,done,B,No
10702,3,Everybody recognize.,2024-10-08,not done,C-,No
10881,6,Star nation house.,2024-11-17,done,D,Yes
10800,5,Recent.,2025-01-15,not done,A+,No
3512,3,Vote.,2024-12-28,done,B,n/a
5100,4,Performance choice body.,2024-09-11,not done,C-,Yes
3899,3,Personal economy.,2024-11-16,done,A+,No
11946,1,If commercial career.,2024-10-30,not done,C,Yes
3660,3,Month nice.,2025-02-15,pending,A+,No
10150,1,Environment safe.,2024-10-05,pending,C,n/a
5820,5,Third statement end international.,2024-11-12,done,C-,No
3077,5,Lay produce.,2025-01-17,not done,D,n/a
8223,1,Reality maybe free.,2025-02-23,done,C,n/a
4813,3,Best.,2024-12-11,done,F,n/a
231,5,Approach certainly hospital.,2024-09-10,pending,A+,n/a
5028,1,Environmental beat.,2024-12-24,done,F,Yes
8326,1,Perform hour bed sell.,2024-10-18,done,C-,n/a
5594,5,Full thousand doctor change.,2025-01-24,not done,C-,No
4900,2,Describe near run.,2025-01-24,done,A,n/a
3140,2,Create ball.,2025-01-16,done,C-,n/a
11521,3,Nearly identify.,2025-02-10,done,C,n/a
6839,1,Avoid.,2024-09-13,done,A+,Yes
7346,1,Chance accept.,2024-12-27,done,A,n/a
2173,4,Enough high page.,2025-01-14,done,A,Yes
5276,5,Guess only treatment.,2024-12-26,done,F,Yes
11725,2,Argue office.,2025-01-23,done,A,n/a
1122,2,Beyond when.,2024-11-12,done,C,n/a
10579,1,Age side rate buy.,2025-01-07,done,D,Yes
8394,4,Modern.,2024-12-13,done,F,Yes
3125,1,Year seven.,2025-01-31,not done,A+,n/a
5300,4,Move teacher.,2024-12-02,done,B,No
1165,5,Baby home executive.,2025-01-25,done,F,No
5749,1,Middle term remain.,2024-11-14,not done,A,Yes
12090,6,Reason hit.,2024-11-23,not done,A+,Yes
529,2,Specific.,2024-10-14,done,B,n/a
7329,2,Worker anyone system.,2025-01-11,not done,C,n/a
3216,5,Once save.,2025-02-07,not done,B-,No
7474,6,Along race minute.,2024-11-17,pending,D,n/a
11623,2,Military occur.,2025-02-11,pending,B-,Yes
10875,6,Second government.,2024-11-24,not done,C-,n/a
9552,1,Food during page himself.,2024-09-08,done,A,No
4691,3,Tax draw cold.,2024-11-29,done,C,No
5598,5,Decide another.,2024-10-09,done,B-,No
963,3,Left research.,2024-11-10,not done,C-,Yes
8016,6,Over candidate investment.,2025-02-17,not done,A,Yes
7171,6,Figure that best.,2025-01-16,not done,C-,n/a
8006,2,Less leg.,2024-10-11,done,F,n/a
5247,6,Song pick bill.,2025-01-26,pending,A+,No
5744,5,Eat seat economic.,2024-12-22,not done,C,Yes
2490,1,Fine.,2024-10-16,pending,B,No
11661,1,Speak record.,2024-10-02,done,A,No
10804,2,Significant star score.,2025-03-02,done,A,Yes
10746,3,Mention.,2024-12-02,done,F,Yes
3901,2,Have claim doctor.,2024-09-25,not done,D,No
3249,5,Simple partner.,2025-01-11,done,B,No
10007,2,Effort challenge.,2024-12-25,not done,B-,Yes
11865,2,Involve vote.,2024-12-22,done,D,Yes
2344,4,Stage.,2024-12-12,not done,A+,n/a
2014,2,Area yet visit.,2025-02-20,done,B,n/a
2874,5,Wrong chance actually.,2024-11-01,done,C,Yes
12127,1,Serve walk.,2024-10-30,done,D,Yes
9263,2,Hair sell.,2024-12-24,pending,D,No
7695,3,Operation.,2024-10-05,not done,F,No
1514,4,Nation about accept.,2024-12-28,done,F,No
8985,6,Set might.,2024-10-04,done,B,n/a
11146,5,Leader.,2024-09-17,done,C-,No
126,4,Happy section.,2025-01-11,done,C-,No
8417,6,These garden.,2025-01-21,pending,C-,No
9323,6,Choice down that.,2025-02-05,done,C,No
11140,1,Game matter.,2024-12-16,pending,C-,Yes
1029,5,Thought speech.,2025-02-17,done,D,n/a
857,4,Fill agreement.,2024-09-28,done,F,No
3717,2,See.,2024-09-28,not done,B,No
10615,1,Responsibility air.,2024-09-27,pending,C-,Yes
11169,5,Teach.,2025-01-06,done,A+,Yes
8606,3,Catch drive him.,2024-10-07,done,B-,No
6932,4,Data good.,2024-09-28,pending,D,No
2731,5,Plant word executive.,2024-11-26,done,C-,Yes
1004,4,Support image ball.,2024-11-21,done,D,Yes
7207,5,Him as.,2024-10-05,not done,A+,Yes
871,5,Themselves success.,2024-12-19,done,C,Yes
6128,5,Save big.,2025-03-01,not done,D,No
7323,1,Hundred seat.,2024-10-02,not done,D,No
11851,1,Time black light.,2025-01-05,done,C,No
1574,5,While media.,2025-02-05,not done,D,No
1586,3,Safe recent nice hope.,2024-11-11,not done,B-,n/a
9835,3,Politics rise mind.,2025-03-08,done,F,n/a
3388,6,Pattern treat talk market.,2024-10-18,done,B,No
12142,6,Either word property.,2024-12-16,done,B,No
1737,5,Quality vote.,2024-11-08,done,D,n/a
9802,6,System floor soldier.,2025-01-13,done,A+,Yes
6445,3,Sister movie.,2024-12-30,not done,D,No
1829,4,Part foreign.,2025-03-02,done,C,No
4570,3,Stop manage doctor.,2024-12-27,done,A+,No
9693,5,Mouth rise.,2025-01-25,not done,F,Yes
4492,5,Could cup safe.,2024-11-26,done,C-,No
11036,5,Wind support sense me.,2024-12-07,not done,A+,n/a
7486,5,Book lead.,2025-03-08,done,B,No
4937,3,Only stuff early.,2025-02-10,done,F,n/a
5405,4,Bar almost.,2025-02-28,not done,C-,Yes
9282,2,Environment try class.,2025-01-30,pending,B,n/a
8683,2,Read owner watch.,2024-10-31,done,A,Yes
6075,2,Win consumer drive.,2024-11-24,done,C-,n/a
8800,3,Style customer training already.,2025-02-15,done,B-,n/a
5147,5,Republican capital.,2024-10-05,done,A,n/a
4400,2,Sing story first.,2024-10-13,not done,D,No
10998,5,Themselves black degree behind.,2025-03-06,done,A+,n/a
3087,1,Nothing base.,2024-10-04,done,A+,n/a
806,3,Positive also.,2024-09-30,not done,B,No
301,1,South phone listen.,2025-02-20,done,C-,Yes
3370,2,Four people material not.,2025-02-04,done,A+,n/a
11915,5,Republican gas positive.,2024-09-17,done,F,n/a
11547,4,Instead after.,2024-09-23,done,F,Yes
7414,4,Us.,2025-03-07,done,A,Yes
11736,3,According low.,2024-12-20,done,F,n/a
1647,2,Character other.,2024-10-09,done,C,No
6749,1,Last long worry.,2024-10-24,pending,F,No
5717,2,Movie arm.,2024-11-05,done,D,n/a
156,4,Final yourself clear.,2024-09-14,not done,F,No
6483,2,Television program these.,2024-09-13,not done,F,n/a
6806,3,Nice figure brother.,2025-02-10,done,A,n/a
10705,3,Rock hope.,2025-01-07,pending,A+,No
1389,1,Base word.,2024-12-08,not done,C,n/a
7997,4,Stuff style recent.,2025-02-16,not done,C-,Yes
3233,1,Sometimes lay trouble.,2024-10-29,done,B,Yes
8119,6,Administration ok.,2024-10-20,not done,B,n/a
752,6,Garden imagine.,2024-09-28,done,C,Yes
2296,4,Network talk.,2024-10-28,done,C-,n/a
9540,6,Teacher white couple.,2025-02-28,not done,F,Yes
123,5,Five half least.,2024-10-29,done,C-,Yes
3049,2,Case indeed machine.,2024-11-02,done,A,Yes
9264,3,Only list others interview.,2024-10-30,done,A,Yes
8558,6,Raise treat fight.,2024-10-09,done,D,No
12000,4,Loss sometimes population.,2025-03-07,done,A+,Yes
7254,3,Others.,2024-10-31,done,C,n/a
4564,4,Account education serious.,2024-12-17,done,B-,Yes
8759,1,Provide choice.,2024-11-15,done,B-,Yes
6929,6,Must Congress lead.,2025-02-17,done,B,Yes
1295,4,Activity off set.,2024-11-20,pending,C-,n/a
78,3,Explain word hit.,2024-10-21,pending,B,No
8299,4,Mission low.,2024-09-13,not done,C-,No
9539,1,Wonder on.,2024-11-28,done,A+,n/a
11458,5,Say join.,2024-10-11,pending,B,No
10036,2,Fill buy.,2024-11-19,not done,A+,Yes
7691,6,Industry program.,2025-02-10,done,A+,n/a
3799,2,Leader.,2024-12-13,not done,A,No
10482,2,Consumer include.,2024-11-09,pending,A,No
10592,6,Maintain ahead.,2025-02-05,pending,A+,n/a
4496,2,Bank conference stay.,2024-12-15,pending,A+,n/a
10196,2,Want investment week.,2024-11-27,pending,B,n/a
9700,2,Exactly yard cultural week.,2024-11-07,pending,C-,No
7798,6,Leader myself.,2024-12-13,done,D,Yes
4477,3,Rock successful.,2025-02-03,pending,D,No
1456,2,Miss method check.,2024-10-22,done,A,n/a
10931,6,Standard think hear.,2024-11-21,pending,C-,n/a
8712,3,Wonder threat high natural.,2024-11-28,not done,B-,n/a
8496,3,End or.,2024-09-29,done,D,No
12047,6,Example mission main.,2024-10-04,done,C,No
3633,2,Wife rule look agreement.,2024-12-31,not done,B-,No
9940,4,Group force writer.,2025-02-23,not done,C-,No
8359,5,Relate fight join create.,2025-02-16,pending,C-,n/a
4303,2,Amount use.,2025-01-06,done,D,Yes
9010,6,Simple voice anyone.,2024-10-31,pending,B-,Yes
10576,2,Offer system.,2025-02-24,done,B,Yes
2717,6,Century ten thought.,2024-12-16,done,F,Yes
402,3,Herself town from.,2024-11-21,not done,C,No
2562,5,Statement word condition.,2025-03-05,done,F,No
9052,2,Stay baby include.,2025-02-12,pending,C-,No
7565,6,Effort speak.,2025-01-18,not done,A,No
4828,5,Appear history page.,2025-01-17,not done,C-,Yes
4590,4,Push little.,2025-03-07,not done,C-,n/a
10403,1,Strategy.,2024-10-18,not done,A,Yes
3230,6,Begin ground.,2025-02-10,pending,A+,Yes
8163,3,Range.,2024-12-12,done,C,Yes
1477,3,When require.,2024-12-30,pending,F,n/a
